"Gene","Gene.symbol"
"ENSG00000156381","ANKRD9"
"ENSG00000156502","SUPV3L1"
"ENSG00000142864","SERBP1"
"ENSG00000136463","TACO1"
"ENSG00000167930","FAM234A"
"ENSG00000119729","RHOQ"
"ENSG00000204954","C12orf73"
"ENSG00000160999","SH2B2"
"ENSG00000112996","MRPS30"
"ENSG00000085760","MTIF2"
"ENSG00000132423","COQ3"
"ENSG00000090621","PABPC4"
"ENSG00000120053","GOT1"
"ENSG00000146731","CCT6A"
"ENSG00000100104","SRRD"
"ENSG00000138629","UBL7"
"ENSG00000113013","HSPA9"
"ENSG00000089163","SIRT4"
"ENSG00000138381","ASNSD1"
"ENSG00000103066","PLA2G15"
"ENSG00000171861","MRM3"
"ENSG00000113916","BCL6"
"ENSG00000169016","E2F6"
"ENSG00000106153","CHCHD2"
"ENSG00000160075","SSU72"
"ENSG00000109171","SLAIN2"
"ENSG00000186335","SLC36A2"
"ENSG00000127252","PLAAT1"
"ENSG00000101084","RAB5IF"
"ENSG00000222011","FAM185A"
"ENSG00000154518","ATP5MC3"
"ENSG00000187079","TEAD1"
"ENSG00000162377","COA7"
"ENSG00000173065","FAM222B"
"ENSG00000119446","RBM18"
"ENSG00000165678","GHITM"
"ENSG00000254772","EEF1G"
"ENSG00000160712","IL6R"
"ENSG00000148335","NTMT1"
"ENSG00000102313","ITIH6"
"ENSG00000278817","AC007325.4"
"ENSG00000105185","PDCD5"
"ENSG00000123297","TSFM"
"ENSG00000198612","COPS8"
"ENSG00000137571","SLCO5A1"
"ENSG00000182196","ARL6IP4"
"ENSG00000101608","MYL12A"
"ENSG00000143365","RORC"
"ENSG00000104936","DMPK"
"ENSG00000176623","RMDN1"
"ENSG00000085721","RRN3"
"ENSG00000177427","MIEF2"
"ENSG00000100028","SNRPD3"
"ENSG00000285025","AL022312.1"
"ENSG00000107959","PITRM1"
"ENSG00000174611","KY"
"ENSG00000102030","NAA10"
"ENSG00000109971","HSPA8"
"ENSG00000163374","YY1AP1"
"ENSG00000138463","SLC49A4"
"ENSG00000248919","ATP5MF-PTCD1"
"ENSG00000182177","ASB18"
"ENSG00000134253","TRIM45"
"ENSG00000174953","DHX36"
"ENSG00000156639","ZFAND3"
"ENSG00000262814","MRPL12"
"ENSG00000164405","UQCRQ"
"ENSG00000140939","NOL3"
"ENSG00000142675","CNKSR1"
"ENSG00000166716","ZNF592"
"ENSG00000116237","ICMT"
"ENSG00000128609","NDUFA5"
"ENSG00000160678","S100A1"
"ENSG00000217930","PAM16"
"ENSG00000090266","NDUFB2"
"ENSG00000137055","PLAA"
"ENSG00000160679","CHTOP"
"ENSG00000084733","RAB10"
"ENSG00000091483","FH"
"ENSG00000168827","GFM1"
"ENSG00000155792","DEPTOR"
"ENSG00000102144","PGK1"
"ENSG00000048162","NOP16"
"ENSG00000147586","MRPS28"
"ENSG00000025293","PHF20"
"ENSG00000075826","SEC31B"
"ENSG00000175984","DENND2C"
"ENSG00000118407","FILIP1"
"ENSG00000106344","RBM28"
"ENSG00000113048","MRPS27"
"ENSG00000247596","TWF2"
"ENSG00000132676","DAP3"
"ENSG00000123472","ATPAF1"
"ENSG00000189043","NDUFA4"
"ENSG00000124380","SNRNP27"
"ENSG00000258289","CHURC1"
"ENSG00000148187","MRRF"
"ENSG00000115295","CLIP4"
"ENSG00000138382","METTL5"
"ENSG00000178449","COX14"
"ENSG00000184983","NDUFA6"
"ENSG00000125843","AP5S1"
"ENSG00000125878","TCF15"
"ENSG00000125733","TRIP10"
"ENSG00000119318","RAD23B"
"ENSG00000109906","ZBTB16"
"ENSG00000140043","PTGR2"
"ENSG00000011638","TMEM159"
"ENSG00000124486","USP9X"
"ENSG00000141568","FOXK2"
"ENSG00000204673","AKT1S1"
"ENSG00000127922","SEM1"
"ENSG00000198692","EIF1AY"
"ENSG00000165516","KLHDC2"
"ENSG00000119723","COQ6"
"ENSG00000243056","EIF4EBP3"
"ENSG00000014919","COX15"
"ENSG00000124275","MTRR"
"ENSG00000273049","AC012531.3"
"ENSG00000101557","USP14"
"ENSG00000168256","NKIRAS2"
"ENSG00000115221","ITGB6"
"ENSG00000138495","COX17"
"ENSG00000113558","SKP1"
"ENSG00000116353","MECR"
"ENSG00000111231","GPN3"
"ENSG00000115233","PSMD14"
"ENSG00000150991","UBC"
"ENSG00000115211","EIF2B4"
"ENSG00000130312","MRPL34"
"ENSG00000097033","SH3GLB1"
"ENSG00000154079","SDHAF4"
"ENSG00000009780","FAM76A"
"ENSG00000006704","GTF2IRD1"
"ENSG00000261236","BOP1"
"ENSG00000205981","DNAJC19"
"ENSG00000168612","ZSWIM1"
"ENSG00000145949","MYLK4"
"ENSG00000165629","ATP5F1C"
"ENSG00000173402","DAG1"
"ENSG00000141279","NPEPPS"
"ENSG00000162852","CNST"
"ENSG00000160294","MCM3AP"
"ENSG00000140374","ETFA"
"ENSG00000149474","KAT14"
"ENSG00000184838","PRR16"
"ENSG00000147576","ADHFE1"
"ENSG00000168288","MMADHC"
"ENSG00000135930","EIF4E2"
"ENSG00000105341","DMAC2"
"ENSG00000116120","FARSB"
"ENSG00000114125","RNF7"
"ENSG00000215251","FASTKD5"
"ENSG00000169727","GPS1"
"ENSG00000244754","N4BP2L2"
"ENSG00000135723","FHOD1"
"ENSG00000117592","PRDX6"
"ENSG00000214022","REPIN1"
"ENSG00000285292","ABCF2-H2BE1"
"ENSG00000181873","IBA57"
"ENSG00000169087","HSPBAP1"
"ENSG00000163170","BOLA3"
"ENSG00000272414","FAM47E-STBD1"
"ENSG00000104221","BRF2"
"ENSG00000152700","SAR1B"
"ENSG00000103064","SLC7A6"
"ENSG00000134333","LDHA"
"ENSG00000159208","CIART"
"ENSG00000166855","CLPX"
"ENSG00000173960","UBXN2A"
"ENSG00000174903","RAB1B"
"ENSG00000167632","TRAPPC9"
"ENSG00000107537","PHYH"
"ENSG00000141076","UTP4"
"ENSG00000141298","SSH2"
"ENSG00000132819","RBM38"
"ENSG00000198471","RTP2"
"ENSG00000136718","IMP4"
"ENSG00000082516","GEMIN5"
"ENSG00000171202","TMEM126A"
"ENSG00000164164","OTUD4"
"ENSG00000007923","DNAJC11"
"ENSG00000130811","EIF3G"
"ENSG00000162878","PKDCC"
"ENSG00000116918","TSNAX"
"ENSG00000110717","NDUFS8"
"ENSG00000055070","SZRD1"
"ENSG00000214194","SMIM30"
"ENSG00000185532","PRKG1"
"ENSG00000186666","BCDIN3D"
"ENSG00000185019","UBOX5"
"ENSG00000198695","MT-ND6"
"ENSG00000145901","TNIP1"
"ENSG00000142599","RERE"
"ENSG00000126581","BECN1"
"ENSG00000136930","PSMB7"
"ENSG00000138138","ATAD1"
"ENSG00000198815","FOXJ3"
"ENSG00000147912","FBXO10"
"ENSG00000121073","SLC35B1"
"ENSG00000187778","MCRS1"
"ENSG00000139350","NEDD1"
"ENSG00000149657","LSM14B"
"ENSG00000011485","PPP5C"
"ENSG00000167283","ATP5MG"
"ENSG00000171953","ATPAF2"
"ENSG00000086102","NFX1"
"ENSG00000136111","TBC1D4"
"ENSG00000256060","TRAPPC2B"
"ENSG00000180891","CUEDC1"
"ENSG00000104388","RAB2A"
"ENSG00000156928","MALSU1"
"ENSG00000118246","FASTKD2"
"ENSG00000130939","UBE4B"
"ENSG00000120942","UBIAD1"
"ENSG00000087995","METTL2A"
"ENSG00000103150","MLYCD"
"ENSG00000170577","SIX2"
"ENSG00000169570","DTWD2"
"ENSG00000139990","DCAF5"
"ENSG00000128731","HERC2"
"ENSG00000168883","USP39"
"ENSG00000089154","GCN1"
"ENSG00000159259","CHAF1B"
"ENSG00000089250","NOS1"
"ENSG00000157510","AFAP1L1"
"ENSG00000175595","ERCC4"
"ENSG00000049883","PTCD2"
"ENSG00000169756","LIMS1"
"ENSG00000166902","MRPL16"
"ENSG00000280071","GATD3B"
"ENSG00000184857","TMEM186"
"ENSG00000089101","CFAP61"
"ENSG00000183779","ZNF703"
"ENSG00000184110","EIF3C"
"ENSG00000188549","CCDC9B"
"ENSG00000168899","VAMP5"
"ENSG00000227268","KLLN"
"ENSG00000112561","TFEB"
"ENSG00000204370","SDHD"
"ENSG00000131558","EXOC4"
"ENSG00000107438","PDLIM1"
"ENSG00000143816","WNT9A"
"ENSG00000066697","MSANTD3"
"ENSG00000131504","DIAPH1"
"ENSG00000168517","HEXIM2"
"ENSG00000090432","MUL1"
"ENSG00000112759","SLC29A1"
"ENSG00000130348","QRSL1"
"ENSG00000169271","HSPB3"
"ENSG00000197530","MIB2"
"ENSG00000107929","LARP4B"
"ENSG00000205937","RNPS1"
"ENSG00000214941","ZSWIM7"
"ENSG00000168286","THAP11"
"ENSG00000164142","FAM160A1"
"ENSG00000162889","MAPKAPK2"
"ENSG00000196642","RABL6"
"ENSG00000008018","PSMB1"
"ENSG00000147166","ITGB1BP2"
"ENSG00000105221","AKT2"
"ENSG00000134686","PHC2"
"ENSG00000175727","MLXIP"
"ENSG00000132600","PRMT7"
"ENSG00000168273","SMIM4"
"ENSG00000142002","DPP9"
"ENSG00000180806","HOXC9"
"ENSG00000250317","SMIM20"
"ENSG00000103342","GSPT1"
"ENSG00000103507","BCKDK"
"ENSG00000074603","DPP8"
"ENSG00000141552","ANAPC11"
"ENSG00000106628","POLD2"
"ENSG00000112855","HARS2"
"ENSG00000188542","DUSP28"
"ENSG00000067704","IARS2"
"ENSG00000142684","ZNF593"
"ENSG00000115657","ABCB6"
"ENSG00000176973","FAM89B"
"ENSG00000162032","SPSB3"
"ENSG00000132361","CLUH"
"ENSG00000114982","KANSL3"
"ENSG00000134056","MRPS36"
"ENSG00000100902","PSMA6"
"ENSG00000218739","CEBPZOS"
"ENSG00000146859","TMEM140"
"ENSG00000125741","OPA3"
"ENSG00000099203","TMED1"
"ENSG00000006744","ELAC2"
"ENSG00000125977","EIF2S2"
"ENSG00000162191","UBXN1"
"ENSG00000134049","IER3IP1"
"ENSG00000106263","EIF3B"
"ENSG00000140945","CDH13"
"ENSG00000100601","ALKBH1"
"ENSG00000148444","COMMD3"
"ENSG00000164818","DNAAF5"
"ENSG00000185627","PSMD13"
"ENSG00000074319","TSG101"
"ENSG00000181610","MRPS23"
"ENSG00000165660","ABRAXAS2"
"ENSG00000138867","GUCD1"
"ENSG00000167969","ECI1"
"ENSG00000149187","CELF1"
"ENSG00000143252","SDHC"
"ENSG00000169857","AVEN"
"ENSG00000174428","GTF2IRD2B"
"ENSG00000162885","B3GALNT2"
"ENSG00000185608","MRPL40"
"ENSG00000077009","NMRK2"
"ENSG00000186350","RXRA"
"ENSG00000014641","MDH1"
"ENSG00000138757","G3BP2"
"ENSG00000100625","SIX4"
"ENSG00000107341","UBE2R2"
"ENSG00000133020","MYH8"
"ENSG00000069431","ABCC9"
"ENSG00000197312","DDI2"
"ENSG00000108883","EFTUD2"
"ENSG00000015153","YAF2"
"ENSG00000178913","TAF7"
"ENSG00000007168","PAFAH1B1"
"ENSG00000126882","FAM78A"
"ENSG00000162139","NEU3"
"ENSG00000135334","AKIRIN2"
"ENSG00000068654","POLR1A"
"ENSG00000138073","PREB"
"ENSG00000204822","MRPL53"
"ENSG00000285133","AC022506.1"
"ENSG00000136247","ZDHHC4"
"ENSG00000163807","KIAA1143"
"ENSG00000120910","PPP3CC"
"ENSG00000085415","SEH1L"
"ENSG00000108639","SYNGR2"
"ENSG00000136436","CALCOCO2"
"ENSG00000124172","ATP5F1E"
"ENSG00000154822","PLCL2"
"ENSG00000025156","HSF2"
"ENSG00000255302","EID1"
"ENSG00000005700","IBTK"
"ENSG00000131152","AC010531.1"
"ENSG00000068305","MEF2A"
"ENSG00000082213","C5orf22"
"ENSG00000122547","EEPD1"
"ENSG00000080802","CNOT4"
"ENSG00000107815","TWNK"
"ENSG00000273540","AGBL1"
"ENSG00000115364","MRPL19"
"ENSG00000119138","KLF9"
"ENSG00000132313","MRPL35"
"ENSG00000122140","MRPS2"
"ENSG00000180011","ZADH2"
"ENSG00000158669","GPAT4"
"ENSG00000163634","THOC7"
"ENSG00000128694","OSGEPL1"
"ENSG00000171503","ETFDH"
"ENSG00000164347","GFM2"
"ENSG00000197780","TAF13"
"ENSG00000197429","IPP"
"ENSG00000174021","GNG5"
"ENSG00000106682","EIF4H"
"ENSG00000186509","OR9Q1"
"ENSG00000102241","HTATSF1"
"ENSG00000169764","UGP2"
"ENSG00000140795","MYLK3"
"ENSG00000129204","USP6"
"ENSG00000167799","NUDT8"
"ENSG00000164074","ABHD18"
"ENSG00000167323","STIM1"
"ENSG00000134463","ECHDC3"
"ENSG00000122643","NT5C3A"
"ENSG00000124313","IQSEC2"
"ENSG00000119673","ACOT2"
"ENSG00000139620","KANSL2"
"ENSG00000126267","COX6B1"
"ENSG00000061794","MRPS35"
"ENSG00000158882","TOMM40L"
"ENSG00000101457","DNTTIP1"
"ENSG00000168890","TMEM150A"
"ENSG00000197223","C1D"
"ENSG00000162650","ATXN7L2"
"ENSG00000182253","SYNM"
"ENSG00000138279","ANXA7"
"ENSG00000122884","P4HA1"
"ENSG00000105357","MYH14"
"ENSG00000145907","G3BP1"
"ENSG00000143314","MRPL24"
"ENSG00000125457","MIF4GD"
"ENSG00000168803","ADAL"
"ENSG00000147687","TATDN1"
"ENSG00000156515","HK1"
"ENSG00000005243","COPZ2"
"ENSG00000176542","USF3"
"ENSG00000166133","RPUSD2"
"ENSG00000214706","IFRD2"
"ENSG00000123444","KBTBD4"
"ENSG00000198816","ZNF358"
"ENSG00000167705","RILP"
"ENSG00000131508","UBE2D2"
"ENSG00000070010","UFD1"
"ENSG00000153561","RMND5A"
"ENSG00000130021","PUDP"
"ENSG00000179041","RRS1"
"ENSG00000151498","ACAD8"
"ENSG00000107771","CCSER2"
"ENSG00000183751","TBL3"
"ENSG00000105650","PDE4C"
"ENSG00000188086","PRSS45P"
"ENSG00000100296","THOC5"
"ENSG00000100612","DHRS7"
"ENSG00000137073","UBAP2"
"ENSG00000161217","PCYT1A"
"ENSG00000035664","DAPK2"
"ENSG00000147573","TRIM55"
"ENSG00000167588","GPD1"
"ENSG00000158683","PKD1L1"
"ENSG00000218891","ZNF579"
"ENSG00000111237","VPS29"
"ENSG00000157823","AP3S2"
"ENSG00000132383","RPA1"
"ENSG00000164022","AIMP1"
"ENSG00000276045","ORAI1"
"ENSG00000145723","GIN1"
"ENSG00000175920","DOK7"
"ENSG00000144320","LNPK"
"ENSG00000131931","THAP1"
"ENSG00000213463","SYNJ2BP"
"ENSG00000067248","DHX29"
"ENSG00000012822","CALCOCO1"
"ENSG00000149289","ZC3H12C"
"ENSG00000170525","PFKFB3"
"ENSG00000159461","AMFR"
"ENSG00000160221","GATD3A"
"ENSG00000119812","FAM98A"
"ENSG00000087299","L2HGDH"
"ENSG00000076555","ACACB"
"ENSG00000134717","BTF3L4"
"ENSG00000171574","ZNF584"
"ENSG00000161204","ABCF3"
"ENSG00000012061","ERCC1"
"ENSG00000152413","HOMER1"
"ENSG00000167182","SP2"
"ENSG00000011523","CEP68"
"ENSG00000137764","MAP2K5"
"ENSG00000139726","DENR"
"ENSG00000167693","NXN"
"ENSG00000100348","TXN2"
"ENSG00000240505","TNFRSF13B"
"ENSG00000283189","AC104452.1"
"ENSG00000164828","SUN1"
"ENSG00000144115","THNSL2"
"ENSG00000082146","STRADB"
"ENSG00000100567","PSMA3"
"ENSG00000135900","MRPL44"
"ENSG00000169372","CRADD"
"ENSG00000091164","TXNL1"
"ENSG00000122085","MTERF4"
"ENSG00000115539","PDCL3"
"ENSG00000164318","EGFLAM"
"ENSG00000089195","TRMT6"
"ENSG00000077348","EXOSC5"
"ENSG00000175768","TOMM5"
"ENSG00000063854","HAGH"
"ENSG00000270800","RPS10-NUDT3"
"ENSG00000176209","SMIM19"
"ENSG00000186951","PPARA"
"ENSG00000111667","USP5"
"ENSG00000150907","FOXO1"
"ENSG00000174738","NR1D2"
"ENSG00000107581","EIF3A"
"ENSG00000168763","CNNM3"
"ENSG00000081014","AP4E1"
"ENSG00000136758","YME1L1"
"ENSG00000168228","ZCCHC4"
"ENSG00000124562","SNRPC"
"ENSG00000134001","EIF2S1"
"ENSG00000110048","OSBP"
"ENSG00000156831","NSMCE2"
"ENSG00000128654","MTX2"
"ENSG00000130204","TOMM40"
"ENSG00000070501","POLB"
"ENSG00000146278","PNRC1"
"ENSG00000028203","VEZT"
"ENSG00000267001","AC006538.2"
"ENSG00000129084","PSMA1"
"ENSG00000156976","EIF4A2"
"ENSG00000009844","VTA1"
"ENSG00000136003","ISCU"
"ENSG00000198947","DMD"
"ENSG00000161671","EMC10"
"ENSG00000124541","RRP36"
"ENSG00000174173","TRMT10C"
"ENSG00000104872","PIH1D1"
"ENSG00000075413","MARK3"
"ENSG00000100462","PRMT5"
"ENSG00000153879","CEBPG"
"ENSG00000186532","SMYD4"
"ENSG00000080845","DLGAP4"
"ENSG00000277791","PSMB3"
"ENSG00000113845","TIMMDC1"
"ENSG00000157106","SMG1"
"ENSG00000134897","BIVM"
"ENSG00000103642","LACTB"
"ENSG00000104904","OAZ1"
"ENSG00000012211","PRICKLE3"
"ENSG00000108591","DRG2"
"ENSG00000065970","FOXJ2"
"ENSG00000107854","TNKS2"
"ENSG00000151413","NUBPL"
"ENSG00000075914","EXOSC7"
"ENSG00000065029","ZNF76"
"ENSG00000144061","NPHP1"
"ENSG00000140543","DET1"
"ENSG00000145982","FARS2"
"ENSG00000163811","WDR43"
"ENSG00000247077","PGAM5"
"ENSG00000243317","STMP1"
"ENSG00000107949","BCCIP"
"ENSG00000165672","PRDX3"
"ENSG00000137513","NARS2"
"ENSG00000102738","MRPS31"
"ENSG00000101421","CHMP4B"
"ENSG00000133065","SLC41A1"
"ENSG00000162402","USP24"
"ENSG00000116717","GADD45A"
"ENSG00000060762","MPC1"
"ENSG00000172939","OXSR1"
"ENSG00000186187","ZNRF1"
"ENSG00000006062","MAP3K14"
"ENSG00000117859","OSBPL9"
"ENSG00000198363","ASPH"
"ENSG00000165487","MICU2"
"ENSG00000166272","WBP1L"
"ENSG00000148730","EIF4EBP2"
"ENSG00000123096","SSPN"
"ENSG00000131467","PSME3"
"ENSG00000089053","ANAPC5"
"ENSG00000168300","PCMTD1"
"ENSG00000106028","SSBP1"
"ENSG00000148516","ZEB1"
"ENSG00000106049","HIBADH"
"ENSG00000091527","CDV3"
"ENSG00000125967","NECAB3"
"ENSG00000101391","CDK5RAP1"
"ENSG00000074054","CLASP1"
"ENSG00000154719","MRPL39"
"ENSG00000162980","ARL5A"
"ENSG00000086504","MRPL28"
"ENSG00000179115","FARSA"
"ENSG00000118496","FBXO30"
"ENSG00000112578","BYSL"
"ENSG00000285437","POLR2J3"
"ENSG00000137393","RNF144B"
"ENSG00000155090","KLF10"
"ENSG00000160688","FLAD1"
"ENSG00000113448","PDE4D"
"ENSG00000104756","KCTD9"
"ENSG00000166199","ALKBH3"
"ENSG00000122591","FAM126A"
"ENSG00000169519","METTL15"
"ENSG00000131061","ZNF341"
"ENSG00000100908","EMC9"
"ENSG00000123213","NLN"
"ENSG00000139160","ETFBKMT"
"ENSG00000162735","PEX19"
"ENSG00000129933","MAU2"
"ENSG00000144635","DYNC1LI1"
"ENSG00000170906","NDUFA3"
"ENSG00000053254","FOXN3"
"ENSG00000081791","DELE1"
"ENSG00000198836","OPA1"
"ENSG00000188215","DCUN1D3"
"ENSG00000134440","NARS1"
"ENSG00000138785","INTS12"
"ENSG00000177370","TIMM22"
"ENSG00000156026","MCU"
"ENSG00000115216","NRBP1"
"ENSG00000117877","POLR1G"
"ENSG00000077721","UBE2A"
"ENSG00000163155","LYSMD1"
"ENSG00000149136","SSRP1"
"ENSG00000164983","TMEM65"
"ENSG00000114796","KLHL24"
"ENSG00000130770","ATP5IF1"
"ENSG00000108509","CAMTA2"
"ENSG00000188559","RALGAPA2"
"ENSG00000107185","RGP1"
"ENSG00000099260","PALMD"
"ENSG00000182552","RWDD4"
"ENSG00000110422","HIPK3"
"ENSG00000148719","DNAJB12"
"ENSG00000172336","POP7"
"ENSG00000135040","NAA35"
"ENSG00000175203","DCTN2"
"ENSG00000108443","RPS6KB1"
"ENSG00000087269","NOP14"
"ENSG00000145996","CDKAL1"
"ENSG00000122873","CISD1"
"ENSG00000136522","MRPL47"
"ENSG00000128708","HAT1"
"ENSG00000139645","ANKRD52"
"ENSG00000093167","LRRFIP2"
"ENSG00000198837","DENND4B"
"ENSG00000283787","PRR33"
"ENSG00000256671","LIMS4"
"ENSG00000145390","USP53"
"ENSG00000137996","RTCA"
"ENSG00000111300","NAA25"
"ENSG00000167085","PHB"
"ENSG00000099804","CDC34"
"ENSG00000170852","KBTBD2"
"ENSG00000107020","PLGRKT"
"ENSG00000153113","CAST"
"ENSG00000167703","SLC43A2"
"ENSG00000138442","WDR12"
"ENSG00000197043","ANXA6"
"ENSG00000188493","C19orf54"
"ENSG00000258311","AC009779.3"
"ENSG00000108588","CCDC47"
"ENSG00000166200","COPS2"
"ENSG00000152104","PTPN14"
"ENSG00000108561","C1QBP"
"ENSG00000118689","FOXO3"
"ENSG00000151090","THRB"
"ENSG00000143363","PRUNE1"
"ENSG00000065060","UHRF1BP1"
"ENSG00000123607","TTC21B"
"ENSG00000133028","SCO1"
"ENSG00000163608","NEPRO"
"ENSG00000165495","PKNOX2"
"ENSG00000204595","DPRX"
"ENSG00000174886","NDUFA11"
"ENSG00000125037","EMC3"
"ENSG00000101844","ATG4A"
"ENSG00000115459","ELMOD3"
"ENSG00000182810","DDX28"
"ENSG00000113328","CCNG1"
"ENSG00000034971","MYOC"
"ENSG00000109519","GRPEL1"
"ENSG00000115866","DARS1"
"ENSG00000109775","UFSP2"
"ENSG00000131368","MRPS25"
"ENSG00000178974","FBXO34"
"ENSG00000164951","PDP1"
"ENSG00000121749","TBC1D15"
"ENSG00000187837","H1-2"
"ENSG00000123064","DDX54"
"ENSG00000172765","TMCC1"
"ENSG00000103657","HERC1"
"ENSG00000273173","SNURF"
"ENSG00000065989","PDE4A"
"ENSG00000268790","AC008764.4"
"ENSG00000137815","RTF1"
"ENSG00000153015","CWC27"
"ENSG00000124588","NQO2"
"ENSG00000100664","EIF5"
"ENSG00000166123","GPT2"
"ENSG00000173674","EIF1AX"
"ENSG00000165006","UBAP1"
"ENSG00000151893","CACUL1"
"ENSG00000146281","PM20D2"
"ENSG00000005981","ASB4"
"ENSG00000120029","ARMH3"
"ENSG00000047346","FAM214A"
"ENSG00000233954","UQCRHL"
"ENSG00000135837","CEP350"
"ENSG00000188342","GTF2F2"
"ENSG00000108984","MAP2K6"
"ENSG00000189077","TMEM120A"
"ENSG00000166949","SMAD3"
"ENSG00000135945","REV1"
"ENSG00000148688","RPP30"
"ENSG00000144161","ZC3H8"
"ENSG00000179912","R3HDM2"
"ENSG00000131943","C19orf12"
"ENSG00000100239","PPP6R2"
"ENSG00000109819","PPARGC1A"
"ENSG00000284770","TBCE"
"ENSG00000174132","FAM174A"
"ENSG00000250021","ARPIN-AP3S2"
"ENSG00000041357","PSMA4"
"ENSG00000116750","UCHL5"
"ENSG00000133424","LARGE1"
"ENSG00000161654","LSM12"
"ENSG00000087302","RTRAF"
"ENSG00000187098","MITF"
"ENSG00000105364","MRPL4"
"ENSG00000115761","NOL10"
"ENSG00000137210","TMEM14B"
"ENSG00000145349","CAMK2D"
"ENSG00000007202","KIAA0100"
"ENSG00000090857","PDPR"
"ENSG00000150990","DHX37"
"ENSG00000184182","UBE2F"
"ENSG00000006788","MYH13"
"ENSG00000123992","DNPEP"
"ENSG00000153786","ZDHHC7"
"ENSG00000123106","CCDC91"
"ENSG00000184675","AMER1"
"ENSG00000165238","WNK2"
"ENSG00000157538","VPS26C"
"ENSG00000187118","CMC1"
"ENSG00000283428","CCDC195"
"ENSG00000106635","BCL7B"
"ENSG00000130985","UBA1"
"ENSG00000012232","EXTL3"
"ENSG00000119401","TRIM32"
"ENSG00000168621","GDNF"
"ENSG00000150347","ARID5B"
"ENSG00000107937","GTPBP4"
"ENSG00000096401","CDC5L"
"ENSG00000173163","COMMD1"
"ENSG00000143420","ENSA"
"ENSG00000188283","ZNF383"
"ENSG00000100033","PRODH"
"ENSG00000087470","DNM1L"
"ENSG00000142961","MOB3C"
"ENSG00000125863","MKKS"
"ENSG00000116984","MTR"
"ENSG00000267740","AC024592.3"
"ENSG00000257103","LSM14A"
"ENSG00000205323","SARNP"
"ENSG00000164134","NAA15"
"ENSG00000154265","ABCA5"
"ENSG00000113456","RAD1"
"ENSG00000152601","MBNL1"
"ENSG00000172663","TMEM134"
"ENSG00000285043","AC093512.2"
"ENSG00000117133","RPF1"
"ENSG00000104973","MED25"
"ENSG00000137692","DCUN1D5"
"ENSG00000168386","FILIP1L"
"ENSG00000144034","TPRKB"
"ENSG00000111142","METAP2"
"ENSG00000196636","SDHAF3"
"ENSG00000128965","CHAC1"
"ENSG00000285723","AL034430.2"
"ENSG00000134697","GNL2"
"ENSG00000115317","HTRA2"
"ENSG00000265241","RBM8A"
"ENSG00000196923","PDLIM7"
"ENSG00000110200","ANAPC15"
"ENSG00000047315","POLR2B"
"ENSG00000285053","TBCE"
"ENSG00000196510","ANAPC7"
"ENSG00000082515","MRPL22"
"ENSG00000137216","TMEM63B"
"ENSG00000013561","RNF14"
"ENSG00000105671","DDX49"
"ENSG00000181852","RNF41"
"ENSG00000129675","ARHGEF6"
"ENSG00000073910","FRY"
"ENSG00000206560","ANKRD28"
"ENSG00000068383","INPP5A"
"ENSG00000139370","SLC15A4"
"ENSG00000131196","NFATC1"
"ENSG00000170145","SIK2"
"ENSG00000091127","PUS7"
"ENSG00000162851","TFB2M"
"ENSG00000112715","VEGFA"
"ENSG00000144043","TEX261"
"ENSG00000066629","EML1"
"ENSG00000120948","TARDBP"
"ENSG00000139112","GABARAPL1"
"ENSG00000203546","AL139353.1"
"ENSG00000258102","MAP1LC3B2"
"ENSG00000172366","MCRIP2"
"ENSG00000164093","PITX2"
"ENSG00000128908","INO80"
"ENSG00000244687","UBE2V1"
"ENSG00000163743","RCHY1"
"ENSG00000109180","OCIAD1"
"ENSG00000147654","EBAG9"
"ENSG00000122783","CYREN"
"ENSG00000124383","MPHOSPH10"
"ENSG00000274286","ADRA2B"
"ENSG00000184903","IMMP2L"
"ENSG00000134986","NREP"
"ENSG00000110075","PPP6R3"
"ENSG00000168894","RNF181"
"ENSG00000133393","CEP20"
"ENSG00000269590","AC010422.5"
"ENSG00000173545","ZNF622"
"ENSG00000151093","OXSM"
"ENSG00000204178","MACO1"
"ENSG00000177613","CSTF2T"
"ENSG00000113742","CPEB4"
"ENSG00000136153","LMO7"
"ENSG00000124570","SERPINB6"
"ENSG00000174720","LARP7"
"ENSG00000148290","SURF1"
"ENSG00000104331","BPNT2"
"ENSG00000072121","ZFYVE26"
"ENSG00000065882","TBC1D1"
"ENSG00000126895","AVPR2"
"ENSG00000171016","PYGO1"
"ENSG00000273155","AC092587.1"
"ENSG00000107669","ATE1"
"ENSG00000249967","AL355315.1"
"ENSG00000111727","HCFC2"
"ENSG00000133805","AMPD3"
"ENSG00000135763","URB2"
"ENSG00000284526","AC015802.6"
"ENSG00000124767","GLO1"
"ENSG00000010818","HIVEP2"
"ENSG00000184719","RNLS"
"ENSG00000237489","C10orf143"
"ENSG00000213782","DDX47"
"ENSG00000136451","VEZF1"
"ENSG00000172172","MRPL13"
"ENSG00000124788","ATXN1"
"ENSG00000109111","SUPT6H"
"ENSG00000254598","CSNK2A3"
"ENSG00000115561","CHMP3"
"ENSG00000064419","TNPO3"
"ENSG00000164151","ICE1"
"ENSG00000183665","TRMT12"
"ENSG00000104472","CHRAC1"
"ENSG00000198060","MARCHF5"
"ENSG00000004455","AK2"
"ENSG00000196419","XRCC6"
"ENSG00000136273","HUS1"
